run_id,fetched_at,vendor_slug,company_domain,url_from,url_to,tenant_id,domain_rating_source,traffic_domain,title
20260526-125533,2026-05-26T12:55:33Z,workday,boeing.com,https://jobs.boeing.com/job/mesa/nondestructive-test-ndt-technician-ut-and-rt/185/94564697184,https://www.myworkday.com/wday/drs/outage?t=boeing&s=external_careers,boeing,85.0,566347,Nondestructive Test (NDT) Technician - UT & RT at Boeing
20260526-125533,2026-05-26T12:55:33Z,workday,browserstack.com,https://www.browserstack.com/careers,https://wd3.myworkday.com/wday/drs/outage?t=browserstack&s=External,browserstack,85.0,376749,Jobs at BrowserStack
20260526-125533,2026-05-26T12:55:33Z,workday,intel.fr,https://www.intel.fr/content/www/fr/fr/content-details/671168/employing-telit-devicewise-application-enablement-platform-on-intel-iot-architecture.html,https://www.myworkday.com/wday/drs/outage?t=intel&s=External,intel,84.0,99475,Employing Telit deviceWISE Application Enablement Platform on Intel IoT Architecture
20260526-125533,2026-05-26T12:55:33Z,workday,crateandbarrel.com,https://jobs.crateandbarrel.com/location/topanga-jobs/351/6252001-5332921-5402961/4,https://www.myworkday.com/crateandbarrel/d/task/2998$46522.htmld,crateandbarrel,84.0,923548,Topanga Jobs at CRATE & BARREL Careers
20260526-125533,2026-05-26T12:55:33Z,workday,suse.com,https://www.suse.com/careers/,https://wd3.myworkday.com/wday/drs/outage?t=suse&s=Jobsatsuse,suse,84.0,71910,Careers
20260526-125533,2026-05-26T12:55:33Z,workday,gucci.com,https://www.gucci.com/jp/ja/st/careers-landing,https://wd3.myworkday.com/wday/drs/outage?t=kering&s=gucci,kering,84.0,4702337,Careers | Gucci Official Site United States
20260526-125533,2026-05-26T12:55:33Z,workday,carrier.com,https://jobs.carrier.com/pl/praca/palm-beach-gardens/director-cloud-and-devops-platforms/29289/89099953520,https://wd5.myworkday.com/wday/drs/outage?t=carrier&s=jobs,carrier,84.0,831691,"Opis Director, Cloud and DevOps Platforms w Carrier"
20260526-125533,2026-05-26T12:55:33Z,workday,comcast.com,https://jobs.comcast.com/job/toms-river/xfinity-retail-service-associate-part-time/45483/93723013408,https://wd5.myworkday.com/comcast/d/task/1422$432.htmld,comcast,84.0,1093370,Xfinity Retail Service Associate - Part Time and jobs at Comcast
20260526-125533,2026-05-26T12:55:33Z,workday,iqvia.com,https://jobs.iqvia.com/en/jobs/R1522738-2,https://www.myworkday.com/wday/drs/outage?t=iqvia&s=IQVIA,iqvia,83.0,152388,"RWE (Assoc) Consultant - Sr Consultant, Real World Solutions at IQVIA"
20260526-125533,2026-05-26T12:55:33Z,workday,maersk.com,https://www.maersk.com/careers/our-teams/students-graduates/management-trainee-program,https://wd3.myworkday.com/maersk/d/inst/15$392530/9925$169825.htmld,maersk,83.0,1497380,Management Trainee Program | Maersk
20260526-125533,2026-05-26T12:55:33Z,workday,travelers.com,https://careers.travelers.com/events/list/page/20/?tribe-bar-date=2020-02-11&eventDisplay=past,https://wd5.myworkday.com/wday/drs/outage?t=travelers&s=External,travelers,83.0,734053,"Past Events from January 25, 2017 – April 27, 2026 – Page 20 – Travelers"
20260526-125533,2026-05-26T12:55:33Z,workday,oscars.org,https://www.oscars.org/events/careers-film-resource-page,https://wd5.myworkday.com/wday/drs/outage?t=unitedtalent&s=uta,unitedtalent,83.0,500395,Careers in Film: Resources | Oscars.org | Academy of Motion Picture Arts and Sciences
20260526-125533,2026-05-26T12:55:33Z,workday,thehartford.com,https://www.thehartford.com/careers/technology,https://wd5.myworkday.com/wday/drs/outage?t=thehartford&s=Careers_External,thehartford,83.0,1265602,"Technology, Data, Analytics and Cyber Jobs | Careers | The Hartford"
20260526-125533,2026-05-26T12:55:33Z,workday,greystar.com,https://jobs.greystar.com/location/phoenix-jobs/35302/6252001-5551752-5308655/4/3,https://www.myworkday.com/greystar/d/task/1422$945.htmld,greystar,83.0,202498,Search Phoenix Jobs at Greystar
20260526-125533,2026-05-26T12:55:33Z,workday,foleon.com,https://kbr.foleon.com/hr/people-perspectives-survey-2021/career-and-development,https://wd5.myworkday.com/kbr/d/home.htmld,kbr,83.0,34394,Career and Development - People Perspectives Survey 2021
20260526-125533,2026-05-26T12:55:33Z,workday,zeiss.com,https://www.zeiss.com/career/de/standorte/deutschland/berufseinstieg/schuelerpraktikum.html,https://wd3.myworkday.com/wday/drs/outage?t=zeissgroup&s=External,zeissgroup,83.0,152859,Schülerpraktikum bei ZEISS
20260526-125533,2026-05-26T12:55:33Z,workday,bdc.ca,http://careers.bdc.ca/positions,https://wd10.myworkday.com/bdc/d/home.htmld?redirect=n,bdc,83.0,600860,
20260526-125533,2026-05-26T12:55:33Z,workday,pcdn.co,https://s7494.pcdn.co/careers/,https://wd3.myworkday.com/wday/drs/outage?t=algonquincollege&s=CareerOpportunities,algonquincollege,83.0,12934,Careers
20260526-125533,2026-05-26T12:55:33Z,workday,avature.net,https://otis.avature.net/it_IT/CareerCultureTalentCommunity/thankYou,https://wd5.myworkday.com/wday/drs/outage?t=otis&s=rec_ext_gateway,otis,83.0,99598,Voglio far parte della comunità dei talenti
20260526-125533,2026-05-26T12:55:33Z,workday,genesys.com,https://www.genesys.com/company/careers,https://www.myworkday.com/wday/drs/outage?t=genesys&s=Genesys,genesys,82.0,111200,Careers at Genesys
20260526-125533,2026-05-26T12:55:33Z,workday,takeda.com,https://jobs.takeda.com/en/job/linz/arzt-w-m-d-fur-spendebetreuung/1113/82966891840,https://wd3.myworkday.com/wday/drs/outage?t=takeda&s=External,takeda,82.0,86080,Arzt (w/m/d) für Spendebetreuung at Takeda Pharmaceutical
