run_id,fetched_at,vendor_slug,company_domain,url_from,url_to,domain_rating_source,traffic_domain,title
20260526-120433,2026-05-26T12:04:33Z,adp,bbb.org,https://www.bbb.org/local/0734/local_0734_get-to-know-us/local_0734_employment,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0e97e0d0-b502-4b54-b2e4-03dbed930c00&ccId=9200094419967_2&lang=en_US,93.0,3818974,St. Louis BBB Employment
20260526-120433,2026-05-26T12:04:33Z,adp,gitlab.com,https://handbook.gitlab.com/handbook/total-rewards/benefits/general-and-entity-benefits/inc-benefits-us/,https://workforcenow.adp.com/,92.0,1516585,GitLab Inc (US) Benefits | The GitLab Handbook
20260526-120433,2026-05-26T12:04:33Z,adp,salesforce.com,https://bjqx-004.dx.commercecloud.salesforce.com/s/StrivectinUS/careers.html,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=6847a5e0-edd5-46ce-afa8-03c919e0ecb8&ccId=9200424413860_2&lang=en_US,92.0,9250679,Careers | Salesforce Commerce Cloud | 6.1.0
